t;x;y;z;a
1607015279662470;2.7948167;-0.87338024;10.13839;3
1607015282102053;2.1415763;0.5407779;9.01137;3
1607015284541689;3.0053852;-0.5814559;9.710074;3
1607015286981272;1.8640088;-0.30388847;9.635897;3
1607015289420855;2.0291135;0.4953143;8.886943;3
1607015291860491;2.5818555;-0.8207382;10.171889;3
1607015294300074;0.82313097;0.23688944;8.9013;3
1607015296739709;2.5028925;0.22253251;9.597611;3
1607015299179293;1.5290136;-0.7728817;9.765109;3
1607015301618876;0.88295156;0.46899325;8.898908;3
1607015304058512;2.6488547;-0.033499517;9.956535;3
1607015306498095;0.93320084;-0.701097;9.391829;3
1607015308937730;1.4189439;0.53359944;9.341579;3
1607015311377314;2.4526432;-0.047856454;9.879965;3
1607015313816897;1.1222339;-0.6652047;9.492328;3
1607015316256480;1.6438692;0.5168497;9.482756;3
1607015318696116;2.605784;0.03589234;9.803394;3
1607015321135699;1.5768701;-0.66759753;9.60479;3
1607015323575334;1.7778672;0.4019942;9.454042;3
1607015326014918;2.8402805;0.28953153;9.690931;3
1607015328454501;2.2492533;-0.64606214;9.724431;3
1607015330894137;1.7611175;0.19142582;9.360723;3
1607015333333720;2.9958138;0.6436693;9.633504;3
1607015335773303;2.7158537;-0.37567315;9.690931;3
1607015338212939;1.6917256;-0.11485548;9.343972;3
1607015340652522;2.4646072;0.81834537;9.533006;3
1607015343092157;2.7732813;0.19381863;9.683753;3
1607015345531741;1.7395821;-0.37328035;9.542577;3
1607015347971324;1.5002998;0.5407779;9.45165;3
1607015350410959;2.3808584;0.82313097;9.736395;3
1607015352850543;1.9908284;-0.083748795;9.712467;3
1607015355290126;1.1078769;-0.076570325;9.537791;3
1607015357729762;1.5457634;0.87338024;9.68136;3
1607015360169345;2.1822543;0.6867401;9.853643;3
1607015362608980;1.6199409;-0.18424734;9.789038;3
1607015365048564;1.1006985;0.13878371;9.734002;3
1607015367488147;1.6462619;0.971486;9.793823;3
1607015369927782;2.2588246;0.64606214;9.970892;3
1607015372367366;1.7611175;-0.15314065;9.868001;3
1607015374806949;1.2753744;0.18903299;9.662218;3
